S.No.,Idioms,Hindi Meaning,English Meaning,
444.,Wet blanket,etk fdjfdjk djus okyk,One who spoil the enjoyment,
445.,Wheels within wheels,tfVy dk;Z vkSj tfVy gksuk,A series of intricately connected events,
446.,White elephant,egWxk ysfdu csdkj,Expensive but no use,
447.,White lie,"NksVk ,ao xSj egRoiw.kZ >wB",A minor lie,
448.,Will o’ the wisp,Hkzked mEehn,Elusive/unreal,
449.,Windfall,",slk ykHk ftldh mEehn u gks",Sudden gain received unexpectedly,
450.,With a grain of salt,Lohdkj djuk ysfdu ’kadk ds lkFk,To accept with misgiving,
451.,With one accord\in one voice,",d Loj esa",Unanimously,
452.,Wolf in sheep’s clothing,fe=rk trkus okyk [krjukd vkneh,A malicious person in harmless or benevolent disguise,
453.,Word for word,’kCn’k%,In exactly the same word,
454.,Word of mouth,vukSipkfjd okrkZyki,Informal oral communication,
455.,Yeoman’s service,vfr mRre,Excellent work,
456.,Pay off old scores,cnyk ysuk,Take revenge,
457.,Make up one’s mind,QSlyk ysuk,Decide,
458.,With a high hand,vR;kpkj :i ls,"Oppressively,",
459.,Laugh one’s head off,tksj ls g¡luk,Laugh heartily,
460.,Chew the cud,fdlh pht ds ckjs esa lkspuk,Ponder over something,
461.,Hard and fast rules,l[r fu;e,Strict rules,
462.,Rank and file,lkekU; O;fDr,Ordinary persons,
463.,Out of the wood,eqlhcrksa ls ijs gksuk,Free from difficulties and danger,
467.,Hit the nail on the head,",d leku djuk ;k dguk",Do or say the exact thing,
468.,Out of the way,ls fHkUu ;k vyx,Strange,
469.,Read between the lines,eryc le>uk,Understand the hidden meaning,
470.,Doctorate the account,gsjk Qsjh djuk,To muniplate the account,
471.,Hue and cry,’kksjxqy,A great noise,
472.,Hard and fast,l[r,Strict,
473.,Weal and woe,lq[k vkSj nq%[k,"Joy and sorrow. Prosperity and
adversity",
474.,Face the music,ijs’kkfu;ksa dk lkeuk djuk,To accept punishment for something you have done.,
475.,Have a big mouth,jkt crkuk,To gossips more or tells secret,
476.,Heart in the right place,vǔNk vkpj.k gksuk,Good natured,
477.,Keep ones eye on the ball,"fdlh dke ds fy, rS;kj jguk",Be ready for something,
478.,Make a bee line for,lh/kk tkuk,To go directly towards something,
479.,Make a dry face,mnkl fn[kuk,To show disappointment,
480.,Meet ones waterloo,var rd igq¡puk,Meet one’s final end,
481.,Monkey around,;gk¡&ogk¡ le; x¡okuk,To waste time here and there,
482.,Once in a blue moon,dHkh&dHkkj,Very rarely,
483.,Old flames die hard,eqf’dy ls NwVuk,Difficult to forget old things,
484.,Pick someone’s brains,fdlh ls tkudkjh tkuuk,"To       ask       someone       for       advice, Suggestions   and   information   about something they know about",
485.,Read between the lines,eryc <+w¡<uk,Read hidden meanings,
486.,Red carpet,"fdlh dks fo’ks""k lEeku nsuk",To give special welcome to someone,
487.,Run into the sand,vlQy gksuk,To fail to achieve a result,
488.,Upset the apple cart,eqlhcr iSnk djuk,To create difficulty,
489.,Under a cloud,’kd ds nk;js esa vkuk,Under suspicious,
490.,Zip your lips,pqi gksuk,To shut up or keep quiet about something.,
491.,To allow the grass to grow under one’s feet,lqLr gksuk,To be lazy,
492.,Die in cast,vafre QSlyk,One  cannot  retreat  or  change  one’s plans,
493.,Do away with,lekIr dj nsuk,Finish,
494.,Dutch courage,u’ks dh gkyr esa iSnk gqvk nqLlkgl,"False, sense of bravery brought about by drinking alcohal",
495.,Fighting fit,LoLFk,In good health,
496.,Field day,lQyrk dk fnu,A successful or a great day,
497.,Hammer and tongs,yxu ls dke djuk,To do something with great energy,
498.,Hand and glove with,cgqr ?kfu’B fe=rk,On very intimate terms,
499.,Hush – hush,xqIr,Very secret,
500.,Lady killer,"cgqr vkd""kZd",Man who is very attractive to women,
501.,Pull a long face,mnkl fn[kuk,Look gloomy,
502.,Make a clean breast of,"nks""k Lohdkj dj ysuk",To confess without resource,
503.,To make head or tail of,vFkZ le>uk,Be able to understand at all,
504.,Neck and crop,iw.kZr%,Completely,
505.,To play a second fiddle,nwljs LFkku ij jguk ;k dk;Z djuk,To be in a subordinate position,
506.,Laying off,ukSdjh ls fudkyuk,Dismissal from jobs of,
507.,Pin one’s ears back,lko/kkuhiwoZd lquuk,Listen carefully,
508.,Pick someone’s brains,Hksn tkuuk,Get information from some one,
509.,Quite the thing,’kkSdh;k,"Fashinable, in fashion",
510.,Quits with,cnyk,"Even with, revenged on",
511.,Hue and cry,’kksjxqy,A great noise,
512.,Hard and fast,l[r,Strict,
513.,Safe and sound,fcydqy Bhd,Quite well,
514.,Weal and woe,lq[k vkSj nq%[k,Joy and sorrow. Prosperity and adversity,
515.,The long and short of,la{ksi esa,In brief,
516.,Face the music,eqlhcrksa dk lkeuk djuk,To accept punishment for something you have done.,
517.,Sitting ducks,vklku f’kdkj,Defensless and easy prey,
518.,Clean sweep,laiw.kZ thr,A complete victory,
519.,Not bat an eyelid,fdlh izdkj dh ?kcjkgV ;k vk’p;Z O;Dr u djuk,"Not to show any shock, worry or surprise",
520.,Head on,lh/ks&lh/ks,In a very direct manner,
521.,Elbow room,dke djus dh NwV,Adequate space/freedom for work,
522.,To move heaven and earth,Hkjd’k dksf’k’k djuk,To do all possible effort,
523.,Daydream,lqugjs lius ns[kuk,To think of pleasant thoughts,
524.,Pied piper,tks usrk xSj ftEesnkjkuk ok;ns djrk gks,A leader who makes irresponsible promises,
525.,To sow the wind and reap the whirlwind,fdlh leL;k dh ’kq:vkr djuk tks ckn esa dkcw ls ckgj gks tk;s,To start some kind of trouble that grows much larger that one has planned,
526.,Hem and haw around,cpuk,To be evasive,
527.,To take the bull by the horns and resolutely,leL;k dk lh/ks&lh/ks lkeuk djuk,To dela with a problem directly,
528.,Tight corner,Eqf’dy voLFkk esa,In a difficult situation,
529.,On guard,pkSdl,Vigilant,
530.,Gung ho,vfr mRlkfgr,Extremely excited,
531.,Once and for all,",d ckj] ges’kk ds fy,",With finality,
532.,Past master,fuiq.k,Adept/ skilled,
533.,Turn out to be,lkfcr gksuk,To be found to be,
534.,Full blown,lEiw.kZ :i ls fodflr,Fully developed,
535.,Muddle-head,csodwQ,Stupid,
536.,Chest-thumping,M+haxs ekjuk,The act or practice of boasting,
537.,Laughing stock,g¡lh dk ik=,One who is ridiculed,
538.,Heart bleed,"fdlh ds fy, laosnuk eglwl djuk",Feel genuine sympathy for someone,
539.,Send shivers down the spine,cgqr vf/kd Hk; eglwl djkuk,To make someone feel very frightened,
540.,Day in day out,dbZ fnuksa rd yxkrkj,For indefinite number,
541.,Wry face,fujk'k fn[kuk,Disappointed look,
542.,With open arms,[kq’kh&[kq’kh,With happiness,
543.,Under the rose,pqids ls,Secretely,
544.,Throw a spanner,fdlh Iyku dks pkSiV djuk,To sabotage a plan,
545.,Seem side of life,lekt dk vuSfrd Hkkx,Immoral side of society,
546.,Take up arms,yM+uk,To fight,
547.,Up and doing,pqLr,Active,
548.,Bring to back,ltk nsuk,To punish,
549.,Argued eyes,lrdZ] pkSdl,"Careful, observant",
550.,Back stair influence,xyr rjhds ls,By unfair means,
551.,By the rule of thumb,vuqHko ls,According to practical experience,
552.,Clip the wings,vf/kdkj ;k ’kfDr ij vadq’k yxkuk,To weakent the power,
553.,Come home to,le>uk,To understand,
554.,Take lying down,csbTtrh Lohdkj djuk,Accept insult,
555.,Open secret,",slh  xqIr lwpuk ftls dbZ yksx tkurs gksa",That many people know about but that is supposed to be  a secret,
556.,Cloven hoof,xyr bǔNk,Evil desire,
557.,Chip of the old block,tks vius ekrk&firk dh rjg gh gks,Resembling in one’s parents in habits,
558.,Cave in,gkj eku tkuk@ncko esa vkuk,,
559.,Bandy words,cgl djuk,To argue,
560.,Blue stocking,"f'kf{kr ysfdu vius Kku dk fn[kkok
djus okyh efgyk",Educated but pedantic lady,
561.,Go the whole hog,foLrkj ls djuk,To do something thoroughly,
562.,In a way,vk'kkoknh,Hopeful,
563.,Sooner and later,dHkh u dHkh,Sooner and later,
564.,Do away with,NqVdkjk ikuk,Get rid of,
565.,Neck and crop,iwjh rjg ls,Completely,
566.,By the virtue of,ds cy ij,By the power of,
567.,To curry favour,"dh d`ik n`f""V thruk",To win favour of,
568.,For a song,dkQh de dher ij,At a very low price,
569.,Ever and anon,tc&rc,Now and then,
570.,Fight shy of,ls cpuk,To attempt to avoid,
571.,Damp squib,iw.kZ vlQy,Complete failure,
572.,Eke out,vkenuh c<+kuk,Supplement income,
573.,Sharp practice,xyr rjhds,Dishonest means,
574.,Cock a snook,vlEeku ;k voekuuk n’kkZuk,To show impudent contempt,
575.,In cahoots,"fdlh ds lkFk ""kM+;a= esa gksuk",To conspiracy with someone,
576.,Go the whole hog,dksbZ dke foLrkj ls djuk,To do something thoroughly,
577.,Cook the books,"xyr izfo""V djuk rkfd iSls dh pksjh dks Nqik;k tk lds",To record false information in order to steal money or show wrong entry to hide stolen money,
578.,Barefaced liars,cs'keZ rjhds ls >wBk O;fDr,Shameless liars,
579.,Bend the truth,Lp Nqikuk ;k rksM+&ejksM+ ds is’k djuk,Not to speak the entire truth,
580.,Go scot free,ltk ls cp tkuk,To escape from punishment,
581.,Buy a lemon,csdkj pht [kjhnuk,To buy something than is worthless,
582.,Hand in glove,"cgqr vf/kd ?kfu""Vrk Hkjs fj’rs esa",In extremely close relation,
583.,Bad eggs,tks csbZeku rjhds ls dke djs,With someone who behaves in a bad or dishonest way,
584.,Daylight robbery,xyr rjhds ls fdlh ds iSls xou djuk,"Blatantly overcharging or removing
someone’s money by foul play to deceive someone",
585.,Pull wool over the eyes,/kks[kk nsuk,To deceive someone,
586.,Pck of lies,>wB dk iqfyank,Full of lies,
587.,Down and out,xjhc vkSj cckZn,Poor and ruined,
588.,Feet of clay,fNih gqbZ detksfj;k¡,Hidden faults,
589.,Lose ground,"viuk LFkku cuk;s j[kus esa vleFkZ
O;fDr",Fail to keep position,
590.,Lose their head,Hkkouk esa cg tkuk,To be carried away,
591.,D-day,ftl fnu dksbZ egRoiw.kZ ?kVuk gksus okyh gks,A day on whinc something important in planned or expected to happened,
592.,Give in,gkj ekuk tkuk,Yield,
593.,Keep one’s pot boiling,flQZ xqtkjk Hkj gh dekuk,Earn hardly enough for living,
594.,In a flutter,mRrsftr,Excited,
595.,On last legs,[kRe gksus dh dxkj ij,About to collapse,
596.,Put a smoke in the wheel,ck/kk mRiUu djuk,To obstruct,
597.,Set someone by ears,yksxksa dks HkM+dkuk,To incite people,
598.,Steal the march,pqids ls vkxs c<+uk,To get ahead secretely,
599.,Red herring,tks /;ku HkVdk;s,Something to distract attention,
600.,Show a clean pair of heals,Hkkx tkuk,Run away,
601.,Smell a rat,xyr gksus dh vk’kadk gksuk,Suspect something foul,
602.,Out of the question,vlaHko,Impossible,
603.,Brain fed,fl[kk;k x;k,Taught,
604.,Mealy mouthed,fouezrk ls cksyus okyk,Soft-spoken,
605.,Live wire,mtkZoku,Energetic,
606.,Stand by,leFkZu nsuk] lkFk,Support,
607.,Weal and woe,lq[k&nq[k,Joy and sorrow,
608.,Be in the tune with,lgefr gksuk,In agreement or mood,
609.,Keep someone  under thumb,nckdj j[kuk],To keep someone under one’s control,
610.,Hold someone to leash,dkcw esa j[kuk,To restrain,
611.,Latin and Greek,le> ls ijs,Unable to understand,
612.,Buy a pig in poke,fcuk lgh eksy tkus dqN [kjhnuk,To buy without knowing exat value,
613.,Goods and chattels,?kj dk lkeku,Belongings of home,
614.,Grey matter,cqf),Intelligence,
615.,Out and out,iw.kZ :i ls,Completely,
616.,Hornet’s nest,fookn,Controversy,
617.,Cast a slur,cnukeh dk dkj.k cuuk,To disrepute,
618.,Gild the pill,fdlh vfiz; pht dks fiz; pht ls <+duk,To cover the unpleasant thing with a pleasant thing,
619.,Come to a standstill,:d tkuk,To come to a stop,
620.,Fair field and no favour,"lHkh ds fy, leku volj",Equall opportunities to all,
621.,Go to dogs,cckZn gksuk,Ruined,
622.,Against all odds,,Despite many difficulties,
623.,Through thick and thin,gj gkyr esa,In all circumstances,
624.,Pissed off,ijs’kku,Annoyed,
625.,Up in the creek,xaHkhj leL;k esa,In serious difficulties,
626.,In a trice,cgqr tYn,Very quickly,
627.,Trojan horse,vius gh ny ;k laxBu ij geyk djus okyk,Someone or something that attacks one’s group,
628.,Teething problems,"’kq:vkrh leL;k,sa",Difficulties experienced initially,
629.,Hot potato,",slk eqn~nk ftl ij yksxksa ds vyx&vyx er gksa vkSj lHkh viuh fopkj/kkjk ij vfM+x gksa",An   issue   or   question   about which    people    have    diffirent opinions and feel very strongly,
630.,Rule the roost,jkt djuk ;k ’kklu djuk,To dominate,
631.,"Lock, stock and barrel",iw.kZ :i ls,"Wholly, completely",
632.,Two horse race,ftlesa flQZ nks izfr;ksxh gksa,Which has only two competitors,
633.,Brown study,lqugjs lius,Reverie/ day-dream,
634.,Turn into a night mare,cqjk vuqHko lkfcr gksuk,Turn into a bad experience,
635.,Blaze the tail,dqN u;k ’kq: djuk,"To  start a movement, begin a
new undertaking",
636.,Big draw,"cgqr cM+k vkd""kZ.k",A huge attraction,
637.,By and by,tYn gh,Before long/ soon,
638.,Gain momentum,cy c<+uk,Gain strength,
639.,Bank on,ij fuHkZj gksuk,To rely,
652.,Petered out,detksj gksdj [kRe gks tkuk,End weakly,
653.,See the light of the day,miyC/k gksuk@dh tkudkjh gskuk,To be made available or be,
654.,Banana republic,",d NksVk xjhc ns’k ftldh ljdkj detksj ;k Hk`""V gks","A  small,  poor  country  with  a weak or dishonest government",
655.,Go banana,cgqr vf/kd xqLlk ;k mUekfnr gksuk,"Become very angry, act crazy",
656.,Bark up the wrong tree,xyr ;k csdkj dke esa mtkZ O;FkZ djuk,"Waste       one’s       efforts       by pursuing   the   wrong   thing   or
path",
657.,Have a ball,Hkjiwj eLrh djuk,Enjoy oneself greatly,
658.,Take a black seat,nks;e ntkZ nsuk,Occupy an inferior position,
659.,Whole new ball game,fcYdqy vyx gkyr,A completely different situation,
660.,In one’s kitty,",slk ik= ftlesa xqV ds lHkh yksx dqN iznku djsa",A      container      kept      for      a particular purpose to which all members jointly contributed,
661.,With bated breath,bartkj djrs le; ?kcjkgV ;k mRrstuk,Feel very excited or anxious while waiting,
662.,Iota,cgqr FkksM+k,Very small amount,
663.,In for a shock,vpkud vkbZ eqlhcr,To get a sudden unpleasant experience,
664.,Get the boot from the public,f/kDdkj fn;k tkuk,To be kicked or rejected,
665.,"Blood, sweat and tears","dkQh iz;kl ,oa ijs’kkuh",A lot of efforts and sufferings,
666.,Bear fruits,Qynk;d gksuk,To give good result,
667.,Blue-eyed boy,cgqr I;kjk,Very dear/ attractive,
668.,New kid on the block,tks fdlh LFkku ;k laLFkk esa u;k gks vkSj mls dkQh dqN lh[kus dh t:jr gks,"Someone who is new in a place
or  organisation  and  has  many things to learn",
669.,Big cheese,egRoiw.kZ O;fDr,Important person,
670.,Bite the bullet,fgpfdpkgV ds lkFk dksbZ dfBu dk;Z djuk,To enter with resignation upon a difficult course of action,
671.,Fall on one’s sword,"ftEesnkjh ysrs gq, vius in ls bLrhQk nsuk","Assume       responsibility       or blame    on    behalf    of     other people,  especially  byresigning
from a position",
672.,Beat a hasty retreat,Hkkx tku@ R;kxuk,Run away/ abandon,
673.,A laughingstock,etkd dk ik=,A    person    or    thing    that    is regarded   as   very   foolish   or ridiculous strange person,
674.,Pick holes,[kkfe;k¡ fudkyuk,To find fault,
675.,Rub the wrong way,fdlh dks fp<+k ;k vizlUu dj nsuk,To irritate someone,
679.,Throw down the gauntlet,pqukSrh nsuk,To challenge,
680.,Hullabaloo,’kksjxqy ;k my>u Hkjh gkykr,A very noisy and confused situation,
681.,All eyes,cgqr ckjhd utj j[kuk,Watching very closely,
685.,Fast and furious,"QqrhZ ,oa LQqrhZ ls","Seiftly, intensely and energetically",
686.,Down the earth,fouez,Humble,
687.,A far cry,dkQh vyx,Notably different,
691.,To receive with open arms,Lokxr djuk,To welcome,
692.,Here to stay,dkQh le; rd jguk,Set to remain for a longer period,
693.,Change the gear,leL;k ls fuiVus dk rjhdk ifjofrZr djuk,Change one’s approach in handling a problem,
694.,Go great guns,cgqr vǔNh rjg lQy gksuk,Progress very well,
695.,Under the gun,dqN djus dk ncko gksuk,Under pressure to do something,
696.,Once bitten twice shy,",d cqjs vuqHko ds otg ls vkxs lrdZrk j[kuk",Taking full precaution because he/she has been hurt once,
697.,Pick up the pieces,"HkkoukRed, vkfFkZd ;k vU; izdkj ds vk?kkr ls mcjuk","Try     to     repair     emotionally,
financially    or    other    damage done to life",
698.,Plain sailin,fcuk :dkoV ds vklku rjDdh,Easy progress over an unobstructed course,
699.,Sweat of the brow,dM+h esgur,Hard labour,
700.,Pan india,iwjs Hkkjr esa ekStwn,Universal,
701.,Fly in the face of,mYya?ku djuk,To defy,
702.,Speak volumes of,Hkkjh ek=k esa lcwr gksuk,To have abundant proof of,
703.,Snap fingers at,voekUkuk n’kkZuk,To show contempt,
704.,Toil and moil,dM+h esgur,Hard labour,
705.,At a loose end,fcuk dke dk ;k csdkj,Idle/unoccupied,
706.,Back breaking,dej&rksM+,Physically demanding,
707.,Keep  the  wolves  away  from the door,Hkq[kejh ls cpuk,To avoid starvation,
708.,At close quarters,vǔNs rjhds ls fujh{k.k,Close examination,
709.,Dead broke,vR;ar xjhc,Penniless,
710.,Down and out,xjhc vkSj cckZn,Poor and ruined,
711.,Great hand,n{k,Expert,
712.,Fight to the finish,var rd yM+uk,Fight to the end,
713.,Fool’s errand,csdkj dk dke,Useless undertaking,
714.,Square meals,"Hkj isV iksf""kr [kkuk","Substantial nourishing meals consisting of enough food to
satisfy hunger",
715.,Small fry,vke vkneh,Not important person,
716.,Give a wide berth,utjvankt djuk,To avoid,
720.,Birds     of     a     feather     flock together,,Similar people tend to associate with each other,
721.,Pass the buck,",d nwljs ij vkjksi yxkuk",To blame to eachother,
722.,Play the gallery,lLrh yksdfiz;rk gkfly djuk,To gain cheap popularity,
723.,Turn a hair,izfrfdz;k O;Dr djuk,Show reaction,
724.,Wash hands of,"djus ds fy, dksbZ dke u gksuk] dksbZ eryc u
gksuk",To have nothing to do,
725.,Deep rooted,tks yacs le; ls gks vkSj ftls cnyuk eqf’dy gks,Existing for a long time and difficult to change,
729.,Take leaf out of one’s book,cjkcjh djuk,To emulate,
730.,Throw a spanner,fdlh ;kstuk dks ukdke djuk,To sabotage a plan,
731.,Throw out of gear,Bhd ls dke u djuk,No working properly,
732.,Throw up the sponge,leiZ.k djuk,Surrender,
733.,Gain momentum,’kfDr ;k cy esa rsth ykuk,Gain force or strength,
734.,Take someone by storm,vk’p;Z dj nsuk,To surprise unexpectedly,
735.,When the crunch come,fu.kZ; dk le;,The moment of decision,
736.,Speoo-bound,ea=eqX/k djuk] mesmrised,"To hold the attention
completely",
737.,Silver-tounged,izHkko’kkyh oDrk,"Able   to   speak   in  a   way   that makes   people   do   or   believe what  you  want  them  to  do  or
believe",
738.,In the good books of,ds i{k esa,In favour of,
739.,Develop cold feet,?kCkM+k tkuk,To become nervous,
740.,Ins and outs,laiw.kZ tkudkjh,Minute detail,
741.,A live wire,mtkZoku,Energetic,
742.,To hold to one’s leash,dkcw esa j[kuk,To restrain or control,
743.,Man of parts,xq.koku,Talented,
744.,Painting the town red,[kq’kh ;k t’u eukuk (fn[kkos ds lkFk),Celebrate flamboyantly,
745.,Pull wool over the eyes of,lgh fLFkfr esa fn’kk Hkzfer djuk,To blind to the true situation,
746.,Put its foot down,vius in dk iz;ksx djuk,To assert one’s authority,
747.,Close to one’s heart,cgqr fiz; gksuk,Very dear,
748.,Bated breath,mRlqdrk vkSj mEehn ds lkFk,In anxiety/expectancy,
749.,Mealy-mouthed,"e/kqjHkk""kh",Soft-spoken,
750.,Stand in great stead,t:jr ds le; enn djuk,To be helpful in need,
751.,Kick the bucket,ej tkuk,To die,
752.,Haul over the coal,M+k¡Vuk,To take to task,
753.,Die hard,fujarj esgur djuk] eqf’dy ls NwVuk,Persistent in struggle,
754.,End in fiasco,dksbZ ifj.kke u gksuk,Come to nothing,
755.,Picks holes,"nks""k fudkyuk",To find fault with,
756.,Foot in the mouth,xyr dgus ds ckn iNrkok djuk,To say something that one regrets later,
757.,Ivory tower,dkYifud nqfu;k,Imaginary world,
758.,In a flutter,mRlkfgr,Excited,
759.,A close shave,fdlh pht dks cgqr de :i ls izkIr djuk,Something achieved (or escape) by a narrow margin,
760.,In cold blood,fcuk fdlh ekuoh; Hkkouk ds] Hkkoghu,Without compuction or human feelings,
761.,Stick to one’s guns,"fdlh dkj.k ;k fl)kar ds fy, fo’oklh cus jguk",Remain faithful to the cause,
762.,Leave no stone unturned,gj rjg ls iz;kl djuk,Use all available means,
763.,Harp on the same string,",d gh fo""k; ij lkspuk",Dwell on the same subject,
764.,Take a leaf out of one’s book,fdlh dh udy djuk,Imitate one,
768.,In high spirits,cgqr [kq’k gksuk,Very happy,
769.,Kill two birds with one stone,",d rhj ls nks fu’kkus yxkuk",To achieve two results with one effort,
770.,Let the cat out of the bag,,Reveal a secret,
771.,Wash one’s dirty linen,"O;fDrxr  fo""k;  dks  vtuch;ksa  ds  lkeus  ppkZ djuk","Discuss   unpleasant   in   public
private          matters          before strangers",
772.,On tenterhooks,vleatl vkSj fpark dh fLFkfr esa gksuk,"In   a   state   of   suspense   and
anxiety, excited  anticipation  of an approaching climax",
773.,To all names,"cgl djrs gq, xkyh nsuk",To abuse,
774.,To get rid of,NqVdkjk ikuk,Dispose of,
775.,To take the bull by the horns,cgknqjh ls fdlh ijs’kkuh dk lkeuk djuk,To  tackle  a  problem  in  a  bold and direct fashion,
776.,To move heaven and earth,dksbZ cM+k iz;kl djuk,To make a supreme effort,
777.,No avail,fcuk fdlh ykHk ds,Without any result,
778.,Bark up the wrong tree,"fdlh xyr O;fDr dks nks""kh Bgjkuk",Accuse or denounce the wrong person,
779.,Keep one at bay,,Keep one at a distance,
780.,Have a card up one’s sleeve,igys ls gh dksbZ xqIr ;kstuk j[kuk,Have a secret plan in reserve,
781.,Like a cat on hot bricks,,Very nervous,
782.,Have a big mouth,"T;knk ckr djrs gq, jkt crkuk",To gossips more or tells secret,
783.,Heart in the right place,lgh LoHkko dk gksuk,Good natured,
784.,Keep ones eye on the ball,"fdlh pht ds fy, rS;kj jguk",Be ready for something,
785.,Make a bee line for,fdlh pht dh vksj lh/kk tkuk,To go directly towards sth,
786.,Make a dry face,fujk’kk fn[kkuk,To show disappointment,
787.,Meet ones waterloo,fdlh dke ds var rd igq¡puk,Meet ones final end,
788.,Monkey around,;gk¡&ogk¡ le; cckZn djuk,To waste time here and there,
789.,Once in a blue moon,dHkh&dHkkj,Very rarely,
790.,Old flames die hard,iqjkuh phtksa dks eqf’dy ls Hkwyuk,Difficult to forget old things,
791.,Read between the lines,"fNis gq, eryc dks tkuuk",Read hidden meanings,
792.,Red carpet,fdlh dks [kkl lEeku nsuk,To give special welcome to someone,
793.,Run into the sand,fdlh pht dks ikus esa vlQy gksuk,To fail to achieve a result,
797.,Snake in the grass,vkLrhu dk lk¡i,A hidden army,
798.,Salad days,fd’kksjkoLFkk,Adolescence,
799.,To crow over,fdlh ij xoZ djuk,To triumph over someone verbally,
803.,Take your medicine,xyr fd;s x;s dke ds ifj.kke dks lguk,"To accept the consequences
of something you have done wrong",
804.,Upset the apple cart,eqlhcr iSnk djuk,To create difficulty,
805.,Under a cloud,’kd ds nk;js esa gksuk,Under suspicious,
806.,Zip your lips,fdlh pht ds ckjs esa pqi djuk,To shut up or keep quiet about something.,
807.,Flog  a dead horse,O;FkZ dk iz;Ru djuk,Try to do that is impossible,
808.,Token strike,lkadsfrd gM+rky,To strike to convey the strength feeling on a dispute,
812.,Get the sack,ukSdjh ls fudky nsuk,Dismissed from a job,
813.,To be In a tight corner,fdlh ijs’kkuh esa gksuk,To be In a difficult situation,
814.,A wild goose chase,O;FkZ dk iz;Ru,To try to impossible,
815.,Does not hold waater,ftl ij fo’okl u fd;k tk lds,That cannot be believe,
816.,On the cuff,_.k ds :i esa,On credit,
817.,No love lost between,fdlh Hkh izdkj dk isze ;k fe=rk u gksuk,Do not like each other,
818.,Played havoc,dgj cjikuk,"Cause damage, destruction",
819.,Hard and fast,vifjorZuh;] dBksj,That cannot be changed in any circumstances,
820.,Cold blood,u`’kal gR;k,"Murder in a way that is deliberately cruel and with no
pity",
824.,To stave off,fdlh cqjh pht dks Lo;a ls nwj j[kuk,"To  prevent  someone  bad from
affecting   you  for   a  period   of time; to delay something",
825.,Make no bones about,tjk Hkh ugha fgpfdpkuk,To be honest and open about sth; not to hesitate to do sth,
826.,Heads with roll,nafMr gksuk,To punish because of sth that had happened,
830.,Take with a grain of salt,tYnh fo’okl u djuk,"To hear, listen, believe with some doubts",
831.,To take through his hat,viuh izla’kk djuk,to boast,
832.,Run riot,naxk djuk,To act without restraint or control,
836.,To run across,la;ksx ls feyuk,To meet sb or find sth by chance,
837.,To get one’s own back,cnyk ysuk,To obtain sth again after having lost it; have one’s revenge,
838.,To steer clear of,nwj jguk,To avoid a person or thing because it may cause problem,
839.,To beat a retreat,gM+cM+kdj ihNs gVuk,To go away or back quickly,
840.,To blaze a trail,vxqok djuk,"To be the first to do or to
discover sth that others follow",
847.,To run one down,vkykspuk djuk,To criticize sb/sth in an unkind,
848.,To have sth up one’s sleeves,xqIr j[kuk,"To keep a plan or an idea
secret until you need to use it",
849.,A penelope’s web,dHkh [kRe u gksus okyh ukSdjh,An endless job,
850.,Pay on the nail,fcuk nsjh ds pqdkuk,Payment without delay,
851.,Go to the dogs,cqjh fLFkfr esa tkuk,To get into a very bad situation,
852.,To keep under wraps,fdlh jkt dks fdlh le; rd Nqik ds j[kuk,To keep secret until sth in future,
853.,A sore point with,"dksbZ ihM+knk;d fc""k;",A subject that makes you feel angry or upset,
857.,Make up your flesh creep,Hk;Hkhr djuk,Make someone afraid or full or disgust,
858.,Burnt his boats,dQu ck¡/k dj fudyuk,To do sth that makes impossible to return to the previous situation,
859.,Not to hold a candle,mruk vǔNk u gks ikuk,Someone is not so good as,
860.,To fight tooth and nail,th tku ls esgur djuk,To fight in a determined way for what you want,
864.,Red herring,"dksbZ xSjegRoiw.kZ mik; ;k ;qfDr tks yksxksa dk
/;ku [khps","An unimportant fact, idea or event that takes people’s
attention",
868.,Dropping names,cM+s yksxksa dk ftdz djuk,"To mention famous people you
know  or  have  met  in  order  to impress others",
869.,Run into,eqf’dy nkSj ls xqtjuk vpkud feyuk,"To experience difficulties
Hit against; come into sudden contact with",
870.,Take thee at the thy word,fdlh ij iwjh rjg fo’okl djuk,Believe someone truly,
871.,To go the whole hog,fdlh dk;Z dks Bhd izdkj ls laiUu djuk,To do sth thoroughly or completely,
872.,Set the record straight,lgh fooj.k nsuk,To give people correct information,
873.,Shook in their shoes,M+j ls Fkj&Fkj dk¡iuk,To be frightened or nervous,
874.,In high spirits,"mRlkg ls ,oa izlUurk ls vksr&izksr",Cheerful and full of hope and enthusiasm,
875.,Sharp practice,csbZekuh dk lkSnk,Clever but possibly dishonest way,
876.,Fed up,Åck gqvk] Fkdk gqvk,Bored and unhappy,
877.,Ins and outs,iwjk fooj.k,All the details especially the complicated or difficult ones,
878.,Storm in the tea cup,ckr dk craxM+,A lot of anger and worry about sth,
879.,Set their face against,M+V dj fojks/k djus dk Bku ysuk,To be determined to oppose sb/sth,
880.,Curry favour with,pkiywlh djds d`ik ik= cuuk,To try to get sb to like support by praising or helping him a lot,
881.,Take for granted,egRo u tkuuk,To pre-suppose as certainly true,
882.,High and dry,fu%lgk;,In a difficult situation without help or money,
892.,To catch up with,cjkcj esa igq¡puk,To reach the same level or standard,
893.,Put his foot down,dqN djus ;k fopkj djus ls euk dj nsuk,"To be very strict in opposing what sb wishes to do; take the
firm stand",
